UNIQUE_ID;SOLD_DATE;SOLD_PRICE_EUR;ROOMS;BATHROOMS;SIZE_LIVING;SIZE_FULL;FLOORS;GARAGE;CONDITION_GRADE;SIZE_ABOVE;SIZE_BASEMENT;BUILT_DATE;RENOVATION_DATE;DISTRICT
1000022165;201410;208000;4;3;168;806;1,5;0;3;168;0;1962;0;II
1000096278;201412;540000;6;3;;19182;2;0;3;216;50;1960;1985;XLIV
1000102172;201410;480000;4;2;178;871;1;0;3;178;0;1964;0;LXIII
1000147212;201411;774000;4;3;187;650;2;0;5;187;0;1901;0;I
1000187891;201502;425000;2;2;77;115;2;0;3;77;0;2005;0;XVII
1000211571;201501;832000;4;2;296;4919;2;0;4;296;0;1980;0;XXXII
1000217851;201503;535000;2;1;85;836;1;0;1;85;0;1954;0;XLIX
1000227839;201405;675000;3;3;236;713;2;0;4;236;0;1940;2001;V
1000337629;201408;215000;4;2;151;743;1;0;3;151;0;1959;0;LI
1000360127;201410;240000;3;2;102;591;1;0;3;102;0;1991;0;XLVII
1000448508;201406;633634;4;4;275;557;2;0;3;275;0;2014;0;XXXVI
1000535447;201503;417000;3;1;122;791;1;0;4;122;0;1953;0;XIII
1000547400;201406;285000;2;1;72;465;1;0;4;72;0;1943;0;X
1000576257;201409;561500;4;2;;910;1;0;3;165;49;1968;0;XLIX
1000593937;201502;325000;3;2;225;1381;1;0;3;128;97;1977;0;LVII
1000628616;201409;396000;3;2;217;527;1;0;4;111;106;1941;0;XXVI
1000635753;201501;350000;4;3;210;697;1;0;3;136;74;1965;0;XL
1000646999;201501;360000;4;1;;357;1,5;0;3;124;11;1928;0;XXVI
1000721396;201505;450000;3;1;125;8614;1;0;2;111;14;1946;0;XL
1000723427;201502;452500;4;3;229;600;2;0;3;229;0;2006;0;XXXVI
1000748139;201408;1450000;4;3;;334;3;0;4;242;56;1997;0;XVII
1000951169;201503;397500;4;3;218;925;1;0;3;153;65;1989;0;LI
1001006926;201502;585000;2;2;184;794;1;0;3;92;92;1981;0;XIX
1001020419;201406;1330000;3;2;180;268;1,5;0;3;180;0;1900;0;XVII
1001110693;201504;462000;5;2;128;399;1,5;0;3;128;0;1916;0;XXVIII
1001163387;201412;290500;4;3;233;714;2;0;3;233;0;2003;0;XL
1001207865;201503;470000;3;4;192;1083;1;0;4;127;65;1977;0;XXXIX
1001208347;201408;550000;5;1;200;24362;1,5;0;3;200;0;1900;2000;XXXVI
